,rac,ec,V2,V258
1519,0,0.266710076,32,0.515
1520,0,0.355246776,32,0.515
1521,0.414213562,0.574058787,32,1.116469136
1522,0.414213562,0.580353178,32,0.515
1523,0.224744871,0.375773438,32,0.515
1524,0,0.54650787,32,0.5356
1525,0.414213562,0.519240495,32,1.116469136
1526,0.224744871,0.631621367,32,0.515
1527,0,0.353805165,32,0.515
1528,0,0.353263959,32,0.515
1529,0.414213562,0.374523462,32,0.515
1530,0,0.503967222,32,0.515
1531,0.414213562,0.290420035,32,0.515
1532,0.414213562,0.47784626,32,1.14080303
1533,0,0.215124132,32,1.116469136
1534,0,0.284604367,32,0.515
1536,0.414213562,0.578195687,32,1.14080303
1537,0.414213562,0.341253522,32,0.5356
1538,0,0.357922516,32,0.515
1539,0,0.457811617,32,0.515
1540,0,0.253732539,32,0.515
1541,0,0,32,1.14080303
1542,0,0.479106686,32,0.515
1543,0.224744871,0.422486055,32,0.515
1545,0,0.365147849,32,0.515
1546,0,0.60218314,32,0.515
1547,0.414213562,0.401772636,32,0.515
1549,0.414213562,0.25992105,32,1.14080303
1550,0.414213562,0.25992105,32,0.515
1551,0.414213562,0.327087812,32,0.515
1552,0,0.373470869,32,0.515
1553,0,0.565853242,32,0.515
1554,0.414213562,0.51878881,32,0.515
1555,0,0.465274626,32,0.515
1556,0,0.452859216,32,1.116469136
1557,0,0.434147416,32,1.116469136
1558,0,0.460649136,32,0.515
1559,0,0.422865739,32,0.515
1560,0.414213562,0.566811245,32,1.116469136
1561,0.414213562,0.447022018,32,1.116469136
1562,0.414213562,0.384549341,32,1.14080303
1563,0.414213562,0.271338794,32,0.515
1564,0.414213562,0.412683292,32,0.5356
1565,0.414213562,0.236650264,32,1.116469136
1566,0.224744871,0.211106283,32,1.116469136
1567,0.414213562,0.345070695,32,0.515
1568,0.224744871,0.260299692,32,0.515
1569,0.414213562,0.279588736,32,0.515
1570,0.414213562,0.36210482,32,1.14080303
1571,0,0.128902075,32,1.116469136
1572,0.224744871,0.395230262,32,1.116469136
1577,0.414213562,0.569312159,32,0.515
1578,0.224744871,0.412918641,32,1.14080303
1580,0.414213562,0.534509976,32,1.116469136
1581,0,0.44471599,32,0.515
1582,0.414213562,0.558081699,32,0.515
1583,0.414213562,0.332994946,32,1.116469136
1584,0,0.485139002,32,1.116469136
1585,0.224744871,0.443016418,32,1.116469136
1586,0.414213562,0.376835274,32,1.14080303
1587,0,0.578195687,32,0.515
1589,0.414213562,0.671347857,32,0.515
1590,0,0.61041262,32,1.14080303
1593,0,0.33115251,32,1.116469136
1594,0.414213562,0.319986488,32,1.116469136
1596,0.414213562,0.499107729,32,1.14080303
1597,0,0.561310924,32,0.515
1599,0.414213562,0.447287846,32,0.515
1600,0.414213562,0.539538065,32,1.116469136
1601,0.414213562,0.33115251,32,0.5356
1603,0.414213562,0.395438972,32,1.14080303
1604,0.414213562,0.393924655,32,0.515
1606,0.414213562,0.208238268,32,1.116469136
1607,0.414213562,0.273807139,32,0.515
1608,0.224744871,0.225045434,32,1.116469136
1609,0.414213562,0.322481219,32,1.116469136
1610,0,0.208238268,32,0.515
1612,0.414213562,0.290036381,32,1.14080303
1613,0.414213562,0.390540257,32,1.116469136
1615,0.414213562,0.402006167,32,1.14080303
1617,0.414213562,0.371148837,32,1.14080303
1619,0.414213562,0.208238268,32,1.116469136
1620,0.414213562,0.183376001,32,1.116469136
1621,0,0.49897084,32,0.515
1622,0,0.400484723,32,1.116469136
1623,0.414213562,0.200091443,32,1.14080303
1624,0,0.588216568,32,1.14080303
1625,0.414213562,0.507858546,32,1.14080303
1626,0,0.144452384,32,0.515
1627,0,0.183178887,32,1.116469136
1628,0,0.280479444,32,0.515
1629,0,0.308370387,32,1.116469136
1630,0.224744871,0.388092988,32,0.515
1631,0.414213562,0.422095187,32,1.116469136
1632,0.414213562,0.404356574,32,1.116469136
1634,0.414213562,0.294372425,32,1.116469136
1635,0.414213562,0.337713685,32,0.515
1636,0,0.395438972,32,0.515
1637,0.414213562,0.304424952,32,0.515
1638,0.414213562,0.514807632,32,1.14080303
1639,0,0.325547367,32,0.515
1640,0.414213562,0.281719079,32,0.515
1641,0,0.398994298,32,0.515
1642,0.414213562,0.337417161,32,1.116469136
1644,0,0.38648173,32,1.14080303
1645,0.189207115,0.252614747,32,1.14080303
1646,0,0.491787011,32,1.14080303
1647,0,0.523171336,32,0.515
1648,0.414213562,0.645327055,32,0.515
1649,0.414213562,0.347457711,32,1.116469136
1651,0.414213562,0.487876613,32,0.515
1652,0.414213562,0.41561117,32,1.14080303
1653,0.414213562,0.431893902,32,0.515
1654,0.414213562,0.479106686,32,0.515
1655,0.414213562,0.483333354,32,0.515
1656,0.414213562,0.561310924,32,0.515
1657,0.414213562,0.503254272,32,1.116469136
1658,0.414213562,0.553324068,32,1.116469136
1660,0.414213562,0.422987511,32,0.515
1661,0,0.310692273,32,0.515
1662,0.414213562,0.266710076,32,0.515
1663,0.414213562,0.369048871,32,1.14080303
1664,0,0.406012515,32,1.14080303
1665,0,0.344293871,32,0.5356
1666,0,0,32,0.515
1667,0,0.193406704,32,0.515
1668,0.224744871,0.190938407,32,0.515
1671,0,0.485505477,32,0.515
1672,0,0.417224045,32,0.515
1673,0,0,32,0.515
1674,0,0.30405931,32,0.5356
1676,0.414213562,0.369386699,32,0.515
1677,0.414213562,0.475127105,32,0.5356
1678,0.414213562,0.42991477,32,1.14080303
1680,0.414213562,0.372817923,32,0.5356
1681,0.414213562,0.368108266,32,1.116469136
1682,0,0.19824496,32,1.14080303
1683,0.414213562,0.522342827,32,1.14080303
1684,0.414213562,0.429259296,32,0.515
1685,0,0.330239741,32,1.14080303
1686,0,0.399426554,32,1.489923611
1687,0.414213562,0.476385212,32,1.489923611
1688,0.224744871,0.384796031,32,1.514568182
1689,0.414213562,0.487876613,32,1.514568182
1690,0,0.331785639,32,1.026840491
1691,0.681792831,0.419868759,32,1.514568182
1692,0.224744871,0.283818916,32,1.514568182
1693,0.414213562,0.531845166,32,1.514568182
1694,0.414213562,0.534563638,32,1.514568182
1695,0,0.140569623,32,1.514568182
1696,0.224744871,0.627565936,32,1.514568182
1697,0,0.572204929,32,1.514568182
1698,0,0.554229983,32,1.514568182
1699,0,0.41943019,32,1.489923611
1700,0,0.452451967,32,1.514568182
1701,0.414213562,0.399426554,32,1.514568182
1702,0.414213562,0.463757085,32,1.514568182
1703,0.414213562,0.607586972,32,1.514568182
1704,0.414213562,0.395621466,32,1.026840491
1705,0.414213562,0.343349246,32,1.514568182
1707,0,0.430920266,32,1.026840491
1708,0,0.489024971,32,1.026840491
1709,0.224744871,0.290934362,32,1.026840491
1710,0.224744871,0.580353178,32,1.489923611
1711,0.224744871,0.49897084,32,1.026840491
1712,0.224744871,0.607586972,32,1.026840491
1713,0,0.399185422,32,1.489923611
1714,0.414213562,0.118840258,32,1.026840491
1715,0.414213562,0.200662235,32,1.026840491
1716,0.414213562,0.430920266,32,1.514568182
1717,0.414213562,0.507858546,32,1.514568182
1718,0,0.460950113,32,1.489923611
1719,0.414213562,0.485197596,32,1.514568182
1720,0.224744871,0.493459868,32,1.489923611
1721,0,0.556925421,32,1.514568182
1722,0,0.521936598,32,1.514568182
1723,0.224744871,0.381821134,32,1.514568182
1724,0.224744871,0.397476122,32,1.026840491
1725,0.414213562,0.273807139,32,1.514568182
1726,0.414213562,0.528372183,32,1.514568182
1727,0.414213562,0.566811245,32,1.026840491
1728,0.224744871,0.532326651,32,2.047882353
1729,0.224744871,0.51202047,32,1.026840491
1731,0.414213562,0.368032878,32,1.489923611
1732,0.224744871,0.490814211,32,1.026840491
1733,0,0.551370286,32,1.026840491
1734,0.414213562,0.364962052,32,1.514568182
1735,0.414213562,0.570122457,32,1.514568182
1736,0.414213562,0.384796031,32,1.514568182
1737,0.414213562,0.548897965,32,1.026840491
1738,0.414213562,0.348921548,32,1.514568182
1739,0.224744871,0.603978418,32,1.489923611
1740,0.456475315,0.573698714,32,1.026840491
1741,0.414213562,0.437267082,32,1.489923611
1742,1,0.367797156,32,1.514568182
1743,0.414213562,0.402006167,32,1.489923611
1745,0.414213562,0.409327929,32,1.026840491
1746,0.414213562,0.445451723,32,1.026840491
1747,0.414213562,0.248837444,32,1.489923611
1748,0.224744871,0.596895424,32,1.489923611
1749,0.224744871,0.356068686,32,1.026840491
1750,0.224744871,0.466790816,32,1.026840491
1751,0.456475315,0.662035881,32,1.514568182
1752,0.456475315,0.511104787,32,1.514568182
1753,0.681792831,0.456370375,32,1.489923611
1754,0.414213562,0.556543432,32,1.026840491
1755,0.414213562,0.658417107,32,1.514568182
1756,0.224744871,0.41943019,32,1.026840491
1757,0.224744871,0.447874965,32,1.026840491
1758,0.414213562,0.574184949,32,1.489923611
1759,0.414213562,0.700536443,32,1.514568182
1760,0.414213562,0.537593413,32,1.514568182
1761,0.224744871,0.543584239,32,1.489923611
1762,0,0.413638182,32,1.026840491
1763,0.414213562,0.457370414,32,1.514568182
1764,0.681792831,0.542577661,32,1.514568182
1765,0.414213562,0.42102069,32,1.026840491
1766,0,0.600817834,32,1.026840491
1767,0,0.496212817,32,1.514568182
1768,0,0.457593578,32,1.026840491
1769,0.224744871,0.510731997,32,1.514568182
1770,0,0.487876613,32,1.514568182
1771,0,0.388092988,32,1.489923611
1772,0,0.501200006,32,1.489923611
1773,0,0.430920266,32,1.514568182
1774,0,0.459387547,32,1.514568182
1775,0,0.430920266,32,1.026840491
1778,0,0.48717129,32,1.026840491
1782,0,0.331548392,32,1.514568182
1786,0.414213562,0.506367826,32,1.514568182
1787,0.224744871,0.488634326,32,1.514568182
1788,0,0.506367826,32,1.489923611
1789,0.414213562,0.461716993,32,1.514568182
1790,0.414213562,0.489605703,32,1.514568182
1791,0.224744871,0.509341933,32,2.047882353
1792,0.414213562,0.390969901,32,1.489923611
1793,0.414213562,0.246034177,32,1.514568182
1794,0.414213562,0.455319624,32,1.489923611
1795,0,0.343343224,32,1.514568182
1796,0.681792831,0.355136999,32,1.489923611
1797,0.414213562,0.546048078,32,1.026840491
1798,0.414213562,0.514684931,32,1.489923611
1799,0.414213562,0.469469615,32,2.047882353
1800,0.414213562,0.471958153,32,1.514568182
1801,0.414213562,0.423494203,32,1.514568182
1802,0,0.548897965,32,1.514568182
1803,0.414213562,0.361250675,32,1.026840491
1805,0.414213562,0.585033276,32,1.489923611
1812,0.224744871,0.40037876,32,1.489923611
1813,0.414213562,0.208238268,32,1.514568182
1814,0.224744871,0.48262818,32,1.514568182
1816,0.414213562,0.454831515,32,1.514568182
1817,0.189207115,0.343349246,32,1.489923611
1818,0.224744871,0.452810376,32,1.489923611
1819,0.224744871,0.508998706,32,1.489923611
1820,0.224744871,0.441589804,32,1.026840491
1821,0.414213562,0.408659842,32,1.514568182
1826,0.224744871,0.496212817,32,1.514568182
1830,0.224744871,0.430920266,32,1.026840491
1834,0.414213562,0.493459868,32,1.026840491
1835,0.414213562,0.40793462,32,1.026840491
1836,0,0.450875779,32,1.489923611
1837,0.224744871,0.405095649,32,1.489923611
1839,0,0.430241944,32,2.047882353
1841,0.414213562,0.543309261,32,1.489923611
1842,0.414213562,0.420291025,32,1.026840491
1843,0.414213562,0.588969813,32,1.026840491
1844,0.414213562,0.61041262,32,1.026840491
1845,0.414213562,0.366201484,32,1.026840491
1846,0,0.553430587,32,1.514568182
1847,0,0.612291339,32,1.514568182
1849,0.224744871,0.610044231,32,1.514568182
1851,0.414213562,0.552905541,32,1.026840491
1852,0,0.431540653,32,1.489923611
1853,0.414213562,0.500591264,32,1.514568182
1854,0.414213562,0.415708246,32,1.026840491
1856,0,0.443344638,32,1.489923611
1857,0.414213562,0.565648489,32,1.514568182
1858,0.414213562,0.602071904,32,1.026840491
1860,0,0.652455493,32,1.026840491
1861,0.414213562,0.500736315,32,1.489923611
1862,0.414213562,0.473668745,32,1.514568182
1863,0.414213562,0.330239741,32,1.514568182
1864,0.414213562,0.628774677,32,1.514568182
1866,0.414213562,0.423893764,32,1.489923611
1867,0,0.499107729,32,1.026840491
1868,0.414213562,0.314137,32,1.489923611
1869,0,0.420834875,32,1.514568182
1870,0,0.621982328,32,1.514568182
1871,0.414213562,0.551753105,32,1.489923611
1872,0.414213562,0.452451967,32,1.026840491
1873,0.414213562,0.905867847,32,1.026840491
1874,0.414213562,0.52529036,32,1.489923611
1875,0.414213562,0.373574797,32,1.026840491
1876,0.414213562,0.527167649,32,1.026840491
1877,0.414213562,0.346547525,32,1.489923611
1878,0.414213562,0.337417161,32,1.514568182
1879,0.414213562,0.794660616,32,1.514568182
1880,0.414213562,0.697185594,32,1.514568182
1881,0,0.492998568,32,1.026840491
1882,0.224744871,0.605025061,32,1.026840491
1883,0.414213562,0.638858388,32,1.514568182
1884,0.414213562,0.418220617,32,1.489923611
1886,0,0.594222773,32,1.514568182
1887,0.414213562,0.517599932,32,1.489923611
1889,0.414213562,0.54673921,32,1.026840491
1890,0.414213562,0.566758099,32,1.026840491
1891,0.414213562,0.319986488,32,1.514568182
1892,0.414213562,0.417606003,32,1.514568182
1893,0.414213562,0.337713685,32,1.514568182
1895,0.414213562,0.33391141,32,1.026840491
1896,0,0.382903643,32,1.489923611
1897,0.414213562,0.476385212,32,1.514568182
1899,0.414213562,0.348336966,32,1.514568182
1903,0.414213562,0.516306704,32,1.026840491
1904,0.414213562,0.48898161,32,1.026840491
1905,0.414213562,0.33391141,32,1.514568182
1906,0.224744871,0.414213562,32,1.489923611
1907,0.414213562,0.343748755,32,1.514568182
1908,0.224744871,0.265239716,32,2.047882353
1909,0.414213562,0.49897084,32,1.514568182
1910,0.414213562,0.39780214,32,1.514568182
1913,0,0.708706946,32,2.047882353
1914,0,0.49897084,32,2.047882353
1915,0.224744871,0.514684931,32,1.514568182
1916,0.414213562,0.49897084,32,2.047882353
1919,0.414213562,0.307361353,32,1.489923611
1922,0.414213562,0.382248083,32,1.514568182
1924,0.414213562,0.329838287,32,1.489923611
1926,0,0.402006167,32,1.514568182
1927,0.414213562,0.37708059,32,1.514568182
1928,0.224744871,0.382771167,32,1.026840491
1929,0,0.216805974,32,1.514568182
1930,0,0.536460545,32,2.047882353
1931,0,0.494937814,32,1.514568182
1932,0.224744871,0.533633542,32,1.514568182
1933,0,0.49897084,32,1.489923611
1934,0.224744871,0.536460545,32,2.047882353
1935,0,0.49897084,32,1.489923611
1936,0.414213562,0.572204929,32,1.489923611
1937,0.414213562,0.432197173,32,1.489923611
1938,0,0.550048281,32,1.489923611
1939,0,0.459505768,32,1.489923611
1941,0.414213562,0.476385212,32,1.489923611
1942,0,0.317537162,32,1.489923611
1943,0,0.420834875,32,1.026840491
1944,0,0.491667453,32,2.047882353
1945,0,0.455938105,32,1.514568182
1946,0,0.450543885,32,1.514568182
1947,0,0.503598227,32,1.489923611
1948,0,0.344910378,32,1.514568182
1949,0.414213562,0.445451723,32,1.514568182
1952,0.224744871,0.406012515,32,1.514568182
1953,0,0.476122205,32,1.489923611
1954,0,0.478428663,32,1.514568182
1956,0.414213562,0.25202095,32,1.489923611
1957,0,0.759522633,32,1.514568182
1958,0.414213562,0.225045434,32,1.026840491
1959,0.224744871,0.16884963,32,1.026840491
1961,0.414213562,0.193406704,32,1.489923611
1962,0,0.33391141,32,1.026840491
1963,0,0.339553733,32,1.489923611
1965,0.414213562,0.781797436,32,1.489923611
1966,0.414213562,0.697690333,32,1.514568182
1967,0,0.412781378,32,1.026840491
1968,0.414213562,0.184816514,32,1.514568182
1969,0.414213562,0.591208938,32,1.026840491
1971,0.414213562,0.458262046,32,1.026840491
1972,0.414213562,0.575841642,32,1.026840491
1973,0.414213562,0.47784626,32,1.026840491
1974,0.414213562,0.54650787,32,1.514568182
1975,0.414213562,0.678415235,32,1.489923611
1976,0.414213562,0.52136087,32,1.514568182
1977,0.414213562,0.487876613,32,1.489923611
1978,0.414213562,0.590387758,32,1.026840491
1979,0.414213562,0.591208938,32,1.026840491
1980,0.414213562,0.455129324,32,1.514568182
1981,0.224744871,0.438057542,32,1.489923611
1982,0.414213562,0.406406742,32,1.489923611
1983,0.414213562,0.452669237,32,1.026840491
1984,0.414213562,0.486464292,32,1.489923611
1985,0,0.412781378,32,1.026840491
1986,0.414213562,0.465274626,32,1.026840491
1989,0.456475315,0.460950113,32,1.489923611
1990,0.414213562,0.496212817,32,1.514568182
1992,0,0.460950113,32,1.514568182
1993,0.414213562,0.50508417,32,1.489923611
1994,0.414213562,0.450137285,32,1.489923611
1996,0.414213562,0.404380457,32,1.026840491
1997,0.414213562,0.535151245,32,1.489923611
1998,0.414213562,0.38064361,32,1.514568182
1999,0.414213562,0.476385212,32,1.026840491
2000,0.414213562,0.572204929,32,2.047882353
2001,0.414213562,0.480570428,32,1.026840491
2003,0.414213562,0.382248083,32,1.514568182
2005,0.414213562,0.410318949,32,1.026840491
2006,0.414213562,0.471958153,32,1.026840491
2007,0.414213562,0.378680922,32,1.026840491
2009,0.414213562,0.538596738,32,1.026840491
2010,0.224744871,0.627565936,32,1.026840491
2011,0.414213562,0.432197173,32,1.489923611
2012,0,0.340877558,32,1.489923611
2013,0.224744871,0.418618268,32,1.489923611
2014,0.414213562,0.490251533,32,1.514568182
2015,0.414213562,0.290420035,32,1.489923611
2016,0.414213562,0.489145593,32,1.514568182
2017,0,0.346771856,32,1.514568182
2018,0.414213562,0.343349246,32,1.489923611
2019,0.414213562,0.336783163,32,1.026840491
2021,0.414213562,0.384796031,32,1.514568182
2023,0.224744871,0.433557934,32,1.514568182
2024,0.414213562,0.253896501,32,1.514568182
2025,0.414213562,0.450825044,32,1.489923611
