country,module,year,legelec,exeelec,executive,bicamera,assemblysize,formula,mixed_type,mdmh,list_type,federal,compulse,enforce,turnout1,turnout2,party_age,enep,enep_c,enpp,enpp_c,disprop,competi,freedom_t,freedom_t1,freedom_t2,polity_t,polity_t1,polity_t2,grouth_t,grouth_t1,grouth_t2,gdp_ppp_t,gdp_ppp_t1,gdp_ppp_t2,inflation_t,inflation_t1,inflation_t2,poptot_t,poptot_t1,poptot_t2,unemploy_t,unemploy_t1,unemploy_t2,
Germany,m1,1998,1,0,2,1,598,mixed,0,11.20,1,1,0,NA,82.2,75.3,52.25,3.318,3.301,2.908,2.908,5.01,70.58,1.5,1.5,1.5,10,10,10,1.96,1.39,0.77,24385.05,23853.19,23559.13,0.94,1.88,1.45,82047000,82071000,81912000,9.20,9.80,8.90,
Germany,m2,2002,1,0,2,1,598,mixed,0,11.20,1,1,0,NA,79.1,,68.33,3.865,3.872,3.376,3.376,4.31,4.89,1,1.5,1.5,10,10,10,0.18,0.85,2.86,25545.68,25635.57,25480.99,1.37,1.98,1.47,82508000,82333000,82210000,8.60,7.80,7.80,
Hong Kong,m1,1998,1,0,,0,60,,,,,0,0,NA,,,,,,,,,,,,,,,,-5.00,5.10,4.30,22920.78,24686.21,23862.27,2.85,5.78,6.37,6544000,6489000,6436000,4.70,2.20,2.80,
Hong Kong,m1,2000,1,0,,0,60,,,,,0,0,NA,,,,,,,,,,,,,,,,10.20,3.40,-5.00,25797.84,23355.20,22920.78,-3.75,-3.96,2.85,6665000,6607000,6544000,4.90,6.20,4.70,
Hong Kong,m2,2004,1,0,,0,60,,,,,0,0,NA,,,,4.820,5.778,4.592,5.188,3.70,83.99,,,,,,,8.15,3.15,1.94,28485.08,26338.72,26049.51,-0.43,-2.58,-3.04,6845000,6816000,6787000,,,7.30,
Hungary,m1,1998,1,0,2,0,386,mixed,0,1.96,1,0,0,NA,56.7,59,9.67,4.526,4.675,3.130,3.130,12.20,106.53,1.5,1.5,1.5,10,10,10,4.86,4.57,1.32,12167.45,11510.57,10789.95,14.23,18.28,23.60,10114000,10155000,10193000,7.80,8.70,9.90,
Hungary,m2,2002,1,0,2,0,386,mixed,0,1.96,1,0,0,NA,73.5,,12.75,2.802,2.802,2.210,2.210,7.30,95.71,1.5,1.5,1.5,10,10,10,3.50,3.85,5.20,14159.44,13634.46,13344.29,5.27,9.22,9.80,10159000,10187000,10024000,5.80,5.70,6.40,
Iceland,m1,1999,1,0,2,0,63,proportional,NA,7.90,1,0,0,NA,84.1,86.2,65.33,3.384,3.393,3.148,3.148,3.23,58.22,1,1,1,,,,4.19,5.59,4.67,27078.25,26365.02,25187.29,3.22,1.72,1.75,277500,274000,272000,2.00,2.70,3.90,
Iceland,m2,2003,1,0,2,0,63,proportional,NA,7.90,1,0,0,NA,,,55.00,3.927,3.931,3.713,3.713,2.20,83.63,1,1,1,,,,4.02,-0.53,2.68,29196.98,28258.12,28981.25,2.06,5.17,6.39,289000,288000,285000,,3.20,2.30,
India,m2,2004,1,0,2,1,545,majoritarian,NA,1.00,NA,1,0,NA,,,19.25,7.411,7.411,6.544,6.544,5.36,78.84,2.5,2.5,2.5,,9,9,6.91,8.61,4.09,2882.56,2732.95,2554.82,3.77,3.81,4.39,1079721000,1064399000,1048641000,,,,
Ireland,m2,2002,1,0,2,1,166,proportional,NA,4.00,0,0,0,NA,62.6,,54.00,3.949,4.112,3.303,3.366,6.77,20.66,1,1,1,10,10,10,6.92,6.19,10.08,35652.91,32306.65,30283.16,4.67,4.87,5.56,3930000,3864729,3813250,4.20,3.70,4.30,
Israel,m1,1996,1,1,0,0,120,proportional,NA,120.00,1,0,0,NA,79.3,84.7,24.00,5.854,5.854,5.607,5.607,1.15,88.30,2,2,2,9,9,9,5.26,7.06,6.93,21522.33,21335.58,20112.60,11.27,10.05,12.34,5692000,5545000,5399000,6.70,6.90,7.80,
Israel,m2,2003,1,0,0,0,120,proportional,NA,120.00,1,0,0,NA,67.8,,11.25,6.968,7.033,6.175,6.186,3.68,24.66,2,2,2,10,10,10,1.29,-0.73,-0.35,21852.79,22002.85,22722.32,0.72,5.64,1.10,6688000,6566000,6439000,,10.30,9.40,
Japan,m1,1996,1,0,2,1,500,mixed,1,7.90,1,0,0,NA,59,59.8,12.75,4.275,4.285,2.936,2.939,13.09,55.72,1.5,1.5,2,10,10,10,3.42,1.93,1.10,25560.97,24853.71,24474.18,0.14,-0.13,0.71,125761000,125439000,124961000,3.40,3.20,2.90,
Japan,m2,2004,1,0,2,1,500,mixed,1,1.54,1,0,0,NA,,,20.33,,,,,,,1.5,1.5,1.5,,10,10,2.70,2.66,-0.35,27338.23,26659.43,26021.29,-0.01,-0.25,-0.92,127764400,127573000,127399000,,,5.40,
